B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract,block group
1521,275,93,92719,21947,118750,39639,37.3,6.7,926,124,54,11,001,001002,2
895,261,60,73581,13601,131058,43537,35.5,8.7,478,113,28,11,001,001002,3
1969,312,113,112204,26161,153500,48045,49.1,5.1,894,121,51,11,001,001100,1
1465,319,101,108328,33273,187404,124775,48.4,9.1,725,117,40,11,001,001100,2
814,268,43,77401,22643,-666666666,-222222222,33.4,5.0,318,85,18,11,001,001100,3
768,240,42,83049,27094,122434,74748,40.9,5.0,359,64,19,11,001,001100,4
1976,264,117,59300,8441,73583,14891,34.2,4.0,1046,129,62,11,001,001200,1
862,250,47,92745,20466,106771,81559,38.1,17.0,604,137,29,11,001,001200,2
722,271,43,98942,35259,137250,31068,35.7,13.6,337,71,19,11,001,001200,3
1390,272,78,95555,20129,159607,104871,38.8,6.0,652,92,37,11,001,001200,4
1681,428,78,99456,24480,132121,3477,31.2,4.0,801,160,41,11,001,001301,1
535,225,38,143543,33015,250001,-333333333,56.0,6.7,303,102,18,11,001,001301,2
1615,381,97,92655,22922,107500,22520,33.8,4.2,986,157,57,11,001,001301,3
2269,431,88,64501,13732,94102,26050,42.2,11.8,1516,187,59,11,001,001302,1
4366,670,150,96610,22102,111746,10249,33.1,4.3,2991,287,100,11,001,001302,2
731,336,24,81230,41113,120854,91893,31.8,22.3,600,179,17,11,001,001302,3
2237,260,214,91465,15587,102525,13192,36.7,3.3,1104,63,105,11,001,001401,1
1103,181,123,98072,22587,234750,43595,42.9,6.7,392,57,41,11,001,001401,2
956,188,96,90579,17042,176985,67125,42.8,3.8,365,58,39,11,001,001402,1
965,191,83,95010,21065,105122,39932,60.6,19.3,589,102,45,11,001,001402,2
1329,339,113,78626,27415,93816,14894,39.2,6.9,629,92,58,11,001,001402,3
1796,503,98,80001,16377,210357,57960,46.4,5.5,606,86,36,11,001,001500,1
883,246,52,67984,14553,211106,20160,45.4,7.4,283,56,19,11,001,001500,2
854,287,90,112621,66920,201361,92478,50.2,22.2,294,90,15,11,001,001500,3
1551,336,93,87311,24789,170795,84023,51.5,7.9,600,84,40,11,001,001500,4
1184,298,67,84818,25296,203661,60053,40.4,1.7,380,63,24,11,001,001500,5
1397,259,133,63132,8473,171818,45398,42.3,5.4,458,72,43,11,001,001600,1
643,171,66,63269,12434,145500,24592,44.0,8.1,315,58,30,11,001,001600,2
733,225,72,87895,26434,161389,81610,46.8,11.3,324,71,32,11,001,001600,3
1682,328,141,90304,14113,171900,39308,51.7,4.7,614,81,55,11,001,001600,4
1554,292,123,81523,21467,103646,39969,42.3,6.9,755,93,59,11,001,001702,1
1485,260,132,46515,5892,79742,12151,42.0,9.7,660,76,57,11,001,001702,2
1295,234,115,41800,11891,55278,18603,43.8,4.8,556,70,49,11,001,001803,1
2764,341,180,24157,5764,45167,16718,33.7,2.9,1149,82,85,11,001,001803,2
1085,363,71,35818,10184,40192,12093,42.4,13.3,663,162,35,11,001,001804,1
1694,647,102,23362,6270,46023,10922,36.9,5.2,543,129,36,11,001,001804,2
2903,575,140,21677,3689,41786,16449,32.9,3.1,1009,166,55,11,001,001804,3
956,274,73,27971,8313,65263,58789,36.2,10.4,410,74,34,11,001,001901,1
1024,351,79,39122,16852,70313,21289,35.6,7.7,447,101,37,11,001,001901,2
1348,312,127,33666,6128,84716,14577,37.4,6.7,511,87,49,11,001,001901,3
653,193,65,31798,7690,69844,23716,47.5,8.4,271,69,29,11,001,001901,4
1604,295,194,37546,6585,87679,13199,40.9,5.1,512,65,77,11,001,001902,1
739,164,98,39163,7997,69821,21309,43.1,5.9,341,58,48,11,001,001902,2
1632,362,164,22533,4083,44167,11634,34.5,6.8,636,61,75,11,001,002001,1
1327,248,149,59725,10459,122438,19963,52.5,7.4,465,57,61,11,001,002001,2
905,238,86,61013,14828,104896,17928,40.9,9.1,369,65,36,11,001,002002,1
1818,489,132,35601,15004,68250,34989,34.4,7.7,662,85,47,11,001,002002,2
1211,289,110,44335,8601,89963,17234,43.7,4.3,433,83,38,11,001,002002,3
1529,663,53,22621,4980,56068,30043,36.9,13.0,581,168,24,11,001,002101,1
1163,531,37,25419,11368,58785,23981,38.6,5.6,579,167,22,11,001,002101,2
1421,448,58,32550,8573,64286,56289,36.2,17.5,506,129,25,11,001,002101,3
825,586,27,28157,19587,47062,30906,35.9,21.6,289,126,13,11,001,002101,4
722,332,29,51108,37071,92838,83473,46.1,13.6,372,123,16,11,001,002101,5
771,238,75,57792,14553,105455,46558,40.6,4.8,371,64,39,11,001,002102,1
578,164,58,38067,8460,44583,23017,42.2,18.9,391,88,38,11,001,002102,2
1275,359,77,48868,15808,102283,32161,41.5,5.5,488,103,29,11,001,002102,3
1249,335,82,27129,5449,65257,26800,37.5,6.7,442,94,32,11,001,002102,4
502,161,50,47679,18269,57679,45390,51.4,5.4,247,77,23,11,001,002102,5
701,233,59,42576,10932,61458,58430,41.1,11.0,365,84,29,11,001,002102,6
1495,426,85,37493,11942,72813,44853,29.9,5.2,442,86,32,11,001,002201,1
1278,410,91,33373,10994,67083,46052,38.8,5.9,394,98,34,11,001,002201,2
868,301,61,41628,13782,-666666666,-222222222,45.5,11.7,325,91,24,11,001,002201,3
2203,530,127,22898,7376,41111,10296,30.8,3.5,803,97,55,11,001,002202,1
978,291,70,32520,8572,71667,64171,32.8,5.4,382,84,30,11,001,002202,2
664,215,67,37125,12335,74762,42843,42.1,8.5,303,78,26,11,001,002202,3
1665,351,114,44498,11852,106689,22353,35.1,5.6,466,71,40,11,001,002301,1
1714,279,149,46728,9887,103295,31012,41.3,4.6,772,80,70,11,001,002301,2
1722,247,177,39266,8045,60205,16690,43.5,10.0,1011,113,85,11,001,002302,1
763,194,78,50416,9083,104219,15873,38.4,4.6,383,72,36,11,001,002400,1
1395,289,109,45015,21674,81688,34098,42.6,6.0,448,69,39,11,001,002400,2
1016,243,87,44425,6969,135781,27279,34.9,9.3,323,67,26,11,001,002400,3
1124,317,100,35979,7683,105813,18323,33.4,4.3,335,50,35,11,001,002400,4
1298,221,88,24673,4183,19973,4296,39.2,7.8,626,72,44,11,001,002501,1
1688,294,177,56457,13233,133600,72251,36.2,5.5,492,72,51,11,001,002501,2
1076,535,50,63825,37212,-666666666,-222222222,35.5,4.0,545,116,29,11,001,002502,1
1871,414,72,40267,10363,60875,17860,32.9,4.6,829,145,38,11,001,002502,2
1419,888,62,31164,10194,130288,108244,32.6,5.1,402,123,23,11,001,002502,3
1676,456,79,43585,13466,64127,22240,37.3,4.6,842,145,43,11,001,002502,4
1147,174,165,70509,15637,110938,26382,42.1,6.9,505,60,72,11,001,002600,1
1480,181,224,74024,9215,208125,54263,49.1,3.0,530,61,81,11,001,002600,2
752,216,38,69343,17037,83417,46183,48.0,15.1,460,157,20,11,001,002701,1
1711,385,138,52393,11448,93320,35660,35.1,5.9,784,161,55,11,001,002701,2
802,271,58,61834,9348,125750,80201,34.9,7.8,303,87,23,11,001,002701,3
2591,628,90,24191,6146,39150,10512,31.0,1.7,1347,163,56,11,001,002701,4
1673,476,74,29418,7112,51250,11416,31.8,3.9,744,143,38,11,001,002702,1
3057,518,180,61991,10164,140204,56077,33.9,2.7,1132,123,69,11,001,002702,2
1646,472,90,54123,14310,96765,17391,33.7,5.5,564,113,36,11,001,002702,3
1346,275,116,36853,7048,60076,19172,33.8,2.8,779,109,65,11,001,002801,1
2536,428,196,21628,3552,44556,9532,30.5,1.9,1045,141,75,11,001,002801,2
2680,432,161,35706,6187,58503,10523,30.7,2.3,1324,101,83,11,001,002802,1
1834,467,110,29835,7426,47708,20403,29.7,2.8,779,129,57,11,001,002802,2
1943,364,179,40355,6437,78009,12488,31.3,2.4,775,82,77,11,001,002900,1
2409,328,220,52291,7082,101824,13991,30.9,1.8,915,89,88,11,001,002900,2
1573,273,152,53669,6813,95882,12066,33.9,2.7,834,77,80,11,001,003000,1
1783,277,130,34548,7340,46397,16976,29.0,2.1,761,75,63,11,001,003000,2
3176,360,238,50771,11139,84278,10382,32.9,2.1,1293,51,107,11,001,003100,1
915,307,69,50408,15066,129670,33030,36.8,9.3,353,95,25,11,001,003200,1
911,279,62,30121,9955,45156,24598,31.1,2.3,406,83,29,11,001,003200,2
1649,455,106,37647,8033,80417,40159,34.2,3.8,686,116,42,11,001,003200,3
1603,463,115,36641,9934,95221,14340,30.9,3.7,494,99,42,11,001,003200,4
1550,407,125,45993,7895,112500,54331,31.9,7.4,534,97,49,11,001,003301,1
1368,292,107,56166,8067,90952,54632,29.9,1.8,576,94,49,11,001,003301,2
1004,230,86,82992,15791,126371,28357,36.7,4.4,599,96,52,11,001,003301,3
1093,185,155,59353,7118,117697,22729,33.5,3.3,532,58,78,11,001,003302,1
1120,210,157,56805,7955,136071,32924,30.8,1.9,477,58,70,11,001,003302,2
1573,288,142,27311,10048,26167,11554,28.8,5.6,518,98,36,11,001,003400,1
3150,418,333,27081,5374,108438,17654,20.4,0.7,924,107,62,11,001,003400,2
1859,375,205,43589,9782,95347,15025,31.8,2.9,685,75,84,11,001,003500,1
3581,287,448,13820,2023,40529,19011,21.7,0.2,533,69,68,11,001,003500,2
1484,396,82,67794,12842,115855,39256,32.5,2.8,859,184,42,11,001,003600,1
1593,404,97,38268,15618,62614,23258,31.1,3.0,738,136,39,11,001,003600,2
2046,606,83,50212,15157,95278,92617,32.1,4.9,758,146,35,11,001,003600,3
1734,416,73,52359,10642,127500,41152,30.9,2.3,736,128,34,11,001,003700,1
2401,667,132,33284,9306,52337,32600,28.4,4.9,1108,177,59,11,001,003700,2
1724,466,80,50218,12948,74583,28179,35.5,5.0,925,152,48,11,001,003700,3
2701,385,121,62889,9788,125156,32371,33.1,2.1,1229,162,60,11,001,003800,1
1658,263,87,101842,31083,93657,7437,35.6,2.3,1122,139,57,11,001,003800,2
679,184,35,49901,25064,33810,30481,49.7,8.7,516,138,26,11,001,003800,3
1291,234,74,57249,7772,85338,7004,33.2,4.1,911,167,50,11,001,003900,1
1178,354,67,61688,13706,82039,12012,37.5,7.3,664,119,37,11,001,003900,2
1148,232,79,64654,10224,91534,8641,31.0,2.3,741,136,42,11,001,003900,3
862,255,44,87595,12747,132241,30759,36.7,9.5,603,155,29,11,001,003900,4
1812,495,88,79871,17529,125707,12251,29.8,5.4,799,117,45,11,001,004001,1
503,112,37,127194,31117,134350,36504,43.0,12.7,407,65,29,11,001,004001,2
1995,282,103,78284,10529,113438,15384,40.4,3.9,1210,138,65,11,001,004001,3
662,181,67,61253,8358,86141,12129,34.3,1.3,388,69,38,11,001,004002,1
1756,299,181,81867,13068,112250,14128,36.3,2.8,996,105,103,11,001,004002,2
719,146,73,80098,15505,87847,7615,35.2,6.0,557,79,55,11,001,004002,3
1384,259,137,122705,23998,131319,16873,44.3,3.3,955,93,86,11,001,004100,1
661,133,71,86191,22706,102955,52172,37.5,7.7,412,75,37,11,001,004100,2
704,205,76,120377,41588,204722,61765,57.0,11.1,342,58,37,11,001,004100,3
1554,239,90,69137,8842,83750,15964,31.8,3.1,1064,127,66,11,001,004201,1
2155,390,123,96920,21308,132786,21606,31.5,2.1,1093,121,66,11,001,004201,2
1195,180,142,100928,28747,114073,15574,33.2,2.7,828,97,80,11,001,004202,1
1297,204,133,82561,14555,101574,14385,31.8,1.2,994,103,90,11,001,004202,2
2228,325,156,68411,9590,99125,30298,35.0,2.6,1313,122,98,11,001,004300,1
1690,326,105,60471,9645,72071,22008,33.2,5.1,886,113,57,11,001,004300,2
3252,387,190,96513,12480,160793,16018,33.5,1.8,1851,164,112,11,001,004400,1
2299,508,128,89622,22191,127634,33916,31.8,4.9,992,142,57,11,001,004400,2
1263,293,83,48234,11256,-666666666,-222222222,34.2,3.7,577,94,39,11,001,004600,1
1570,307,131,59251,12280,99583,19899,31.3,1.5,850,102,71,11,001,004600,2
1713,443,44,12246,7932,17804,5878,24.5,2.8,656,126,21,11,001,004701,1
3141,465,145,48104,8962,50236,18501,31.9,2.4,2023,149,95,11,001,004701,2
2875,279,446,72604,10367,100179,9311,32.1,1.2,1618,47,249,11,001,004702,1
2560,290,236,51200,5632,106806,7938,33.1,2.4,1254,75,118,11,001,004801,1
1408,277,117,78688,15073,117500,39646,34.8,2.4,848,106,74,11,001,004802,1
2132,316,148,29960,5959,34866,9647,32.1,2.5,1055,99,76,11,001,004802,2
1379,229,165,35072,7375,54250,16122,30.8,1.3,569,74,68,11,001,004901,1
1447,257,207,61309,11179,108000,13163,33.3,2.9,725,74,105,11,001,004901,2
702,217,46,35851,10634,37333,19427,35.8,11.8,314,93,24,11,001,004902,1
2453,430,195,64030,10815,120000,17227,32.3,1.0,1230,112,115,11,001,004902,2
801,188,114,80599,10280,134215,9429,32.6,2.7,413,81,62,11,001,005001,1
1275,294,156,74438,22898,104914,37346,37.3,6.6,599,82,81,11,001,005001,2
1473,308,83,52101,10244,52780,27701,40.7,4.9,1057,190,60,11,001,005002,1
1943,319,121,94728,9477,120188,26040,32.3,1.7,1257,172,80,11,001,005002,2
1240,651,56,54839,24221,94079,25476,29.9,1.6,588,170,31,11,001,005002,3
1315,296,54,50248,18651,70466,29971,42.2,4.3,852,158,36,11,001,005002,4
2091,463,76,82478,14920,88750,27317,30.4,2.2,1725,256,59,11,001,005201,1
1376,381,51,94620,16956,121131,18773,31.4,1.7,913,175,35,11,001,005201,2
706,217,29,73493,16134,81948,25289,37.6,7.8,621,134,24,11,001,005201,3
2032,468,68,85082,14949,132708,39892,32.4,3.2,1182,207,42,11,001,005201,4
917,168,59,84078,27250,99444,41328,30.6,2.2,640,129,39,11,001,005301,1
1520,277,81,78640,10133,127656,38126,32.0,2.8,923,127,53,11,001,005301,2
1352,226,90,76447,13796,75053,15618,34.1,1.6,1165,167,66,11,001,005301,3
1201,269,67,81157,21675,77292,34313,31.7,3.6,943,146,52,11,001,005301,4
820,352,32,57700,14657,100440,64519,36.5,11.7,546,158,18,11,001,005500,1
2508,516,80,98337,22859,110500,44112,36.8,4.3,1633,254,55,11,001,005500,2
1710,406,56,76972,32439,72074,52896,30.3,0.9,1280,222,42,11,001,005500,3
998,301,67,40342,15064,-666666666,-222222222,35.1,5.0,794,168,21,11,001,005500,4
744,236,28,70840,30246,69375,24611,30.9,10.8,531,130,22,11,001,005500,5
1905,339,119,53724,12707,50826,9734,27.8,3.0,1495,188,81,11,001,005600,1
1905,304,144,87060,23832,113073,18545,54.3,13.6,1100,176,62,11,001,005600,2
1788,316,137,41317,11716,86382,47709,24.7,1.6,898,192,38,11,001,005600,3
1086,293,89,36562,10298,70039,61301,24.1,3.8,612,170,34,11,001,005600,4
1084,165,118,121827,19243,137933,6725,44.2,2.9,1271,132,111,11,001,005800,1
1685,301,187,93339,23795,127857,22483,38.3,2.7,1104,113,114,11,001,005800,2
2760,292,290,61377,8132,100000,11161,28.1,1.2,1577,65,155,11,001,005900,1
65,106,null,null,null,-666666666,-222222222,-666666666.0,-222222222.0,39,64,null,11,001,006202,1
1322,317,119,25904,8182,19457,5864,35.5,10.6,738,91,71,11,001,006400,1
1133,256,105,19519,6301,26442,5838,26.0,4.0,548,86,53,11,001,006400,2
859,184,98,68353,12645,83417,13815,31.8,1.7,717,87,64,11,001,006500,1
1710,346,162,74315,11673,162609,39969,31.9,4.5,776,82,81,11,001,006500,2
2027,204,195,94345,18239,146920,14094,41.2,3.1,1124,49,104,11,001,006600,1
1384,182,135,72609,10873,124821,22272,39.7,4.1,615,70,63,11,001,006700,1
1504,222,141,83389,10672,147222,38896,37.0,1.3,651,74,67,11,001,006700,2
1296,170,136,97689,19231,134306,25456,39.2,4.6,659,81,70,11,001,006700,3
1587,178,190,45451,6091,79932,16067,38.6,8.7,703,62,95,11,001,006801,1
555,108,86,59378,11137,88750,24349,35.0,1.7,297,52,48,11,001,006801,2
951,142,135,62193,8223,136607,37447,34.1,3.2,428,51,61,11,001,006802,1
1537,203,236,58616,9742,125500,33495,36.4,2.9,631,54,100,11,001,006802,2
2803,288,null,6292,1792,-666666666,-222222222,36.1,3.8,16,23,null,11,001,006804,1
1421,189,131,76376,10386,101563,32377,41.4,4.1,936,66,83,11,001,006900,1
799,180,81,77222,11174,163942,70141,38.6,2.8,325,60,30,11,001,006900,2
1441,251,128,79281,11599,135227,16233,33.3,2.3,723,85,69,11,001,007000,1
1393,252,159,53881,11319,113125,13184,27.9,5.4,504,72,44,11,001,007000,2
703,391,43,41017,24186,60761,29653,29.3,11.1,298,86,23,11,001,007100,1
2646,342,190,43525,7982,72917,19036,30.5,1.8,1111,82,93,11,001,007100,2
3469,260,313,67386,6385,111402,11082,31.2,0.9,1826,85,179,11,001,007200,1
1195,190,107,51317,10625,51422,13675,35.8,3.5,787,74,71,11,001,007200,2
4680,401,442,28914,3168,76734,4103,22.8,1.1,1442,49,128,11,001,007301,1
2163,403,161,16393,3543,27931,9540,33.1,7.8,817,77,62,11,001,007304,1
946,233,70,23295,7594,44009,27670,37.3,8.3,394,70,32,11,001,007304,2
318,172,19,17642,5687,-666666666,-222222222,44.5,18.0,207,60,13,11,001,007304,3
1206,164,124,10365,2501,13475,2449,25.8,5.1,551,65,60,11,001,007401,1
1108,226,131,9425,2398,16042,3834,27.0,3.5,559,67,68,11,001,007401,2
3192,374,171,11501,1982,24758,10203,27.0,4.0,1195,45,76,11,001,007403,1
2098,635,98,16313,8000,26250,9009,22.1,5.4,812,168,44,11,001,007404,1
1533,675,52,31296,14690,62016,30985,32.3,13.7,443,148,20,11,001,007404,2
154,138,8,11569,9685,-666666666,-222222222,20.3,27.9,177,62,12,11,001,007404,3
1764,487,108,14109,3421,45435,10679,25.7,2.8,594,100,41,11,001,007406,1
1190,385,77,7872,2706,12803,1954,22.9,3.8,538,99,40,11,001,007406,2
807,242,56,17280,5342,37863,21569,41.6,21.7,320,64,24,11,001,007407,1
2094,238,146,43834,24300,38672,12960,33.2,3.3,1125,66,80,11,001,007407,2
3607,453,317,10576,2101,21735,3559,31.3,2.9,1327,38,96,11,001,007408,1
1099,366,56,16846,4259,38368,7939,37.9,12.0,548,92,33,11,001,007409,1
1310,353,81,17943,5602,35284,30291,25.5,6.1,522,94,40,11,001,007409,2
1485,419,69,15806,4651,34280,10820,26.2,3.8,597,105,33,11,001,007409,3
3407,603,192,12816,2370,26964,5404,29.3,8.5,1108,131,67,11,001,007502,1
1757,406,110,18007,6341,20341,8818,38.0,9.3,932,133,66,11,001,007502,2
648,181,69,25826,8409,29196,10067,36.2,9.6,350,59,41,11,001,007503,1
2000,316,188,14120,3046,29706,13058,23.1,4.1,717,64,79,11,001,007503,2
2903,400,203,20896,7628,18618,4648,27.6,4.4,1392,34,97,11,001,007504,1
877,315,42,29238,11066,35895,9839,36.5,10.7,517,136,26,11,001,007601,1
260,95,22,40645,12396,-666666666,-222222222,63.8,5.6,176,62,16,11,001,007601,2
2116,553,116,26311,8412,40801,12001,38.7,7.2,819,141,49,11,001,007601,3
756,323,45,17207,5182,27364,13557,35.2,10.2,437,123,26,11,001,007601,4
900,376,41,20919,7143,25650,7818,37.5,16.7,431,126,24,11,001,007601,5
1578,553,63,26109,7895,26872,11362,41.4,7.5,1076,213,42,11,001,007603,1
402,193,29,61001,26122,48279,7589,52.8,9.5,432,140,18,11,001,007603,2
854,440,49,30607,17497,127674,50621,40.4,35.3,217,70,18,11,001,007603,3
1200,422,40,34730,13710,58066,26096,52.6,6.0,736,203,26,11,001,007603,4
1412,384,83,22850,7985,27311,26037,31.6,5.2,680,115,45,11,001,007604,1
1401,318,115,40919,6957,85608,20327,45.2,4.5,709,101,62,11,001,007604,2
1199,338,73,31495,10937,40444,6745,33.3,7.0,698,131,44,11,001,007604,3
698,237,70,34014,8100,80357,36102,41.9,8.1,252,63,28,11,001,007605,1
2387,350,170,23225,4027,38813,14851,39.2,5.0,1215,103,95,11,001,007605,2
908,327,65,13168,5328,13750,3166,30.9,6.9,418,89,31,11,001,007605,3
797,396,33,21363,10831,-666666666,-222222222,37.6,19.6,394,118,17,11,001,007703,1
1126,519,40,13180,4354,31860,9081,26.0,14.7,566,151,20,11,001,007703,2
3112,700,109,11399,3168,21059,6254,27.6,8.6,1207,180,44,11,001,007703,3
486,296,16,40927,41584,29125,25353,38.3,20.7,332,135,12,11,001,007703,4
2830,557,173,14417,3314,30712,4293,25.4,4.0,1178,99,84,11,001,007707,1
1677,406,130,30169,7477,69744,21658,37.4,8.3,653,93,60,11,001,007707,2
1592,368,81,15175,5314,31850,11471,23.9,9.4,604,91,34,11,001,007708,1
1420,312,90,20334,4370,35833,11302,42.4,6.6,732,87,44,11,001,007708,2
1302,219,144,21978,4334,31767,5774,45.3,7.3,712,69,80,11,001,007709,1
973,222,99,22552,5950,41667,10954,36.2,10.6,475,78,46,11,001,007709,2
990,288,64,20465,6295,37340,13295,36.1,9.4,449,104,28,11,001,007803,1
607,177,52,34215,9833,51944,15477,53.7,14.0,280,62,26,11,001,007803,2
652,336,37,23155,5571,94821,45287,23.8,7.7,194,71,13,11,001,007803,3
1458,347,83,21420,5896,24941,3212,42.8,21.1,934,122,55,11,001,007803,4
1279,562,80,19652,6312,49620,18998,28.0,19.1,362,98,19,11,001,007804,1
1384,287,76,26744,12324,39787,13234,33.7,10.5,733,126,38,11,001,007804,2
884,332,68,23210,4869,46379,23674,52.0,18.9,347,83,27,11,001,007804,3
1043,207,126,17992,3950,28977,12297,44.4,5.2,522,82,60,11,001,007806,1
1035,275,101,20563,5862,36420,12776,36.2,5.6,547,88,53,11,001,007806,2
1383,216,155,21866,3184,47643,5375,35.3,5.6,566,66,63,11,001,007807,1
934,197,104,29447,18136,38393,26998,40.6,3.1,436,60,50,11,001,007807,2
1909,605,75,23526,6203,41528,21643,29.3,2.9,687,157,30,11,001,007808,1
842,297,56,16032,3936,24000,14684,52.9,5.4,572,102,41,11,001,007808,2
1096,526,46,21812,12858,35640,16604,21.8,2.4,399,116,23,11,001,007808,3
2003,393,133,20485,3398,39531,6918,32.3,4.2,983,118,66,11,001,007809,1
1071,335,70,25262,10111,52321,34239,42.7,12.3,404,100,28,11,001,007809,2
324,154,24,21102,8978,24250,11447,42.2,20.8,247,78,20,11,001,007901,1
1014,242,82,34275,6404,67188,28029,40.8,5.3,475,74,39,11,001,007901,2
1548,401,108,30660,4986,64318,22969,33.5,2.8,622,84,51,11,001,007901,3
1011,228,80,26366,7435,36434,16246,38.9,21.3,492,80,43,11,001,007901,4
1907,257,265,34701,5351,62717,10431,36.3,3.5,922,27,132,11,001,007903,1
744,261,75,65595,14884,135682,20494,32.9,4.5,387,89,31,11,001,008001,1
1527,217,155,60186,6832,116394,31025,36.5,2.5,698,87,70,11,001,008001,2
891,311,76,60865,12412,170227,96695,32.3,2.8,318,66,29,11,001,008001,3
1208,204,117,62796,10348,111944,15739,39.8,4.4,639,81,63,11,001,008002,1
2229,241,222,67779,8569,118696,14588,34.9,1.1,987,92,98,11,001,008002,2
825,187,85,70265,18213,104545,44608,35.7,3.9,356,63,38,11,001,008100,1
1569,220,158,78448,9036,137727,31019,34.9,3.6,696,76,67,11,001,008100,2
843,177,82,90034,13876,167788,58106,36.3,8.9,478,75,44,11,001,008100,3
894,261,83,81204,20502,144479,26295,38.0,4.7,471,72,44,11,001,008200,1
2112,259,244,77503,17056,101385,8738,28.3,2.2,1062,76,98,11,001,008200,2
1203,246,120,66755,7807,143194,26875,33.9,2.4,559,71,55,11,001,008301,1
1216,232,109,68310,16268,119000,24751,31.6,1.9,603,80,54,11,001,008301,2
