B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract,block group
1417,324,114,49718,8060,113750,66618,31.4,3.2,490,79,45,11,001,003301,1
1234,307,92,61909,10668,89028,57753,29.5,1.0,530,95,43,11,001,003301,2
968,194,82,78333,13337,115042,32494,35.5,3.1,594,100,50,11,001,003301,3
1219,189,160,48390,7466,107589,19923,32.1,2.9,530,56,74,11,001,003302,1
1119,173,158,58235,7906,135481,37828,33.0,4.3,479,56,72,11,001,003302,2
1522,349,144,26245,8817,28657,24093,30.0,6.7,515,98,36,11,001,003400,1
3194,452,339,26045,6068,108750,35058,20.6,0.7,929,107,64,11,001,003400,2
2104,445,198,35113,7991,92396,18696,30.1,2.4,680,67,78,11,001,003500,1
3499,368,414,12921,1889,33971,15771,21.7,0.2,551,77,68,11,001,003500,2
1686,411,82,68198,9354,125025,27008,32.6,2.1,824,165,41,11,001,003600,1
1522,409,90,43359,17188,58472,19449,31.8,3.4,767,162,37,11,001,003600,2
1828,504,80,43897,14804,65521,40257,31.7,4.6,681,131,33,11,001,003600,3
1811,393,78,48527,10752,114162,33095,30.1,2.2,737,131,37,11,001,003700,1
2310,573,126,29543,7985,46875,11501,26.7,4.0,1053,154,54,11,001,003700,2
1739,451,79,45888,13790,72179,35608,35.3,6.1,922,134,48,11,001,003700,3
2396,461,119,60857,11302,118750,24356,31.9,1.9,1140,157,58,11,001,003800,1
1732,294,92,78505,14047,92604,12820,34.5,1.5,1155,153,60,11,001,003800,2
841,199,38,32550,8643,33205,11310,43.2,13.3,540,129,26,11,001,003800,3
1334,251,71,53746,7028,86818,11076,31.9,2.9,898,140,48,11,001,003900,1
1178,305,68,66314,15665,90080,25202,37.3,7.2,677,137,37,11,001,003900,2
1161,226,78,67144,10742,88419,28764,30.4,1.4,773,125,43,11,001,003900,3
819,232,47,71358,12202,113983,21220,36.0,6.6,560,120,29,11,001,003900,4
1741,497,85,71525,15579,91908,46956,28.5,5.4,799,109,45,11,001,004001,1
503,132,37,131579,28769,143068,45442,52.4,17.8,398,73,29,11,001,004001,2
1876,280,98,80806,11759,103825,18724,38.8,3.0,1180,131,62,11,001,004001,3
729,242,62,65786,7775,83875,11855,34.3,2.4,427,84,38,11,001,004002,1
1609,189,171,75151,12373,103813,13706,36.4,2.7,1000,90,106,11,001,004002,2
660,149,71,66932,11242,83229,13123,33.0,6.1,498,78,51,11,001,004002,3
1314,193,124,106119,21326,120804,24558,43.4,4.1,918,94,84,11,001,004100,1
729,142,69,71647,15942,92364,40941,36.8,1.5,444,73,37,11,001,004100,2
716,205,81,126516,45846,185714,55890,55.3,13.7,348,64,40,11,001,004100,3
1507,233,92,67244,8052,80313,10513,32.4,2.8,989,112,64,11,001,004201,1
2118,304,133,88676,20083,114554,28387,31.5,2.5,1128,106,74,11,001,004201,2
1305,180,147,102157,25497,122188,41168,31.7,1.3,884,99,83,11,001,004202,1
1330,173,142,79874,12979,87188,25739,32.0,1.2,1007,95,94,11,001,004202,2
2118,271,147,57888,7971,78073,12007,34.6,3.1,1268,112,96,11,001,004300,1
1602,323,90,62522,10363,87434,43389,35.1,7.6,859,105,51,11,001,004300,2
3495,357,198,84049,10165,149475,13344,33.4,2.0,1879,166,112,11,001,004400,1
2207,464,129,86259,21707,134939,48643,30.9,2.3,854,143,51,11,001,004400,2
1036,272,68,47157,13527,null,null,33.5,4.8,479,95,34,11,001,004600,1
1911,301,140,45340,10089,70000,31624,31.8,3.0,928,94,75,11,001,004600,2
1536,559,43,15916,8779,18366,2186,26.5,18.8,608,123,21,11,001,004701,1
2942,526,130,43790,10411,42361,18487,30.7,2.2,1864,128,83,11,001,004701,2
2558,226,374,72154,9480,94688,14725,32.9,1.4,1457,56,202,11,001,004702,1
2223,284,205,53431,4805,103273,7835,37.3,2.6,1212,67,109,11,001,004801,1
1278,241,111,75605,12848,116607,33357,33.6,2.7,774,101,71,11,001,004802,1
2270,309,155,31297,5670,36595,8119,31.6,2.1,1039,100,74,11,001,004802,2
1342,250,156,26872,5470,30000,26010,30.3,1.2,589,80,68,11,001,004901,1
1258,269,186,59984,10741,114659,31505,33.9,3.1,601,77,90,11,001,004901,2
646,196,42,31790,9493,29286,18508,32.6,10.4,308,76,24,11,001,004902,1
2196,339,189,66140,9242,114600,14460,32.2,1.0,1229,97,116,11,001,004902,2
839,213,99,95736,17460,134659,21701,33.6,4.0,406,80,53,11,001,005001,1
1277,336,139,79059,23007,108438,53367,38.6,8.8,595,98,71,11,001,005001,2
1709,352,81,47923,9486,37465,12800,44.9,14.9,1167,175,56,11,001,005002,1
1965,348,105,88850,11085,112649,26142,33.9,2.9,1269,172,70,11,001,005002,2
1174,539,48,48822,20905,88947,23845,29.4,1.6,585,168,28,11,001,005002,3
1203,382,56,63067,28239,72160,8963,38.6,8.3,769,191,36,11,001,005002,4
2170,429,74,83066,17305,71573,11772,30.5,1.8,1738,264,57,11,001,005201,1
1378,391,51,100313,14622,132708,45078,32.0,4.3,949,199,34,11,001,005201,2
797,255,29,75492,16156,90852,34767,31.7,11.1,670,160,23,11,001,005201,3
1879,437,63,100017,27876,134550,29182,32.1,3.1,1116,211,42,11,001,005201,4
878,169,56,72132,19049,83929,49443,29.0,2.3,583,114,37,11,001,005301,1
1509,228,82,78244,10120,116667,16119,31.6,2.7,895,117,54,11,001,005301,2
1339,187,90,77910,12707,71359,11479,34.8,1.8,1170,141,65,11,001,005301,3
1273,256,70,90741,20923,100897,30610,31.6,2.4,1020,148,55,11,001,005301,4
723,332,30,79399,18552,107442,16715,36.0,9.4,523,181,17,11,001,005500,1
2613,520,76,114922,20877,140000,64849,36.3,3.0,1878,265,55,11,001,005500,2
1535,374,53,103878,80159,61964,41313,30.6,2.6,1192,199,40,11,001,005500,3
1098,300,67,43153,15349,52632,48170,35.1,6.6,751,205,21,11,001,005500,4
663,217,24,75482,32079,69808,43267,30.4,6.6,541,134,21,11,001,005500,5
2101,342,120,54139,13196,50538,8937,27.9,2.7,1573,191,79,11,001,005600,1
1684,232,138,111144,36515,106181,42920,65.1,6.6,1194,177,60,11,001,005600,2
1912,1095,136,31063,20769,83750,61102,21.8,3.1,734,206,33,11,001,005600,3
1267,353,92,75273,25903,126067,60237,35.1,9.0,720,184,31,11,001,005600,4
1000,190,106,115913,15831,136375,15826,42.8,3.8,1061,130,93,11,001,005800,1
1781,312,195,90803,20299,111023,16077,38.0,3.1,1198,105,121,11,001,005800,2
2882,299,289,57361,5628,99330,13327,28.5,1.0,1624,51,150,11,001,005900,1
117,94,null,58019,45977,-666666666,-222222222,24.8,13.1,54,56,null,11,001,006202,1
1256,238,107,22174,5753,21806,7980,42.7,12.1,697,76,66,11,001,006400,1
874,224,84,17179,6839,23565,9503,29.4,5.2,513,75,49,11,001,006400,2
875,156,94,69558,14576,82153,16018,32.1,1.3,698,93,62,11,001,006500,1
1708,313,160,79793,10379,165000,37048,32.8,3.7,793,95,82,11,001,006500,2
1904,208,209,92827,14887,143485,14771,39.2,3.1,1112,60,109,11,001,006600,1
1406,198,126,71868,11900,128289,16216,38.8,2.9,602,67,58,11,001,006700,1
1425,213,135,81327,9313,138843,35053,37.9,3.3,653,75,64,11,001,006700,2
1382,214,125,99772,18488,140833,19745,40.1,2.5,673,99,63,11,001,006700,3
1369,173,188,45661,7856,75820,10539,38.0,5.4,652,58,100,11,001,006801,1
648,179,96,50538,13365,74375,21837,34.0,4.5,314,51,52,11,001,006801,2
911,164,132,56993,9193,123125,17115,35.7,2.2,433,62,63,11,001,006802,1
1431,202,216,53115,8289,104107,13980,37.3,3.7,622,56,98,11,001,006802,2
2949,251,null,4691,1188,-666666666,-222222222,35.0,3.5,4,6,null,11,001,006804,1
1447,174,135,69618,7969,77424,39429,41.7,3.5,955,60,82,11,001,006900,1
734,161,82,76001,12014,159250,55218,39.6,3.8,296,50,30,11,001,006900,2
1367,275,121,78617,13119,134722,22780,33.6,3.2,706,77,67,11,001,007000,1
1427,335,155,54985,14151,95625,25463,29.0,4.5,549,79,49,11,001,007000,2
674,378,41,36274,20763,57446,23359,27.6,8.4,281,76,22,11,001,007100,1
2390,382,181,44555,8389,74559,21140,32.8,1.6,1111,76,91,11,001,007100,2
3358,332,296,66166,6397,116700,10298,30.2,1.6,1770,98,171,11,001,007200,1
1226,467,111,57954,25227,55000,20069,32.2,10.7,666,94,68,11,001,007200,2
4002,392,410,28639,3705,75625,11531,23.0,1.6,1273,68,116,11,001,007301,1
2415,382,191,15685,3454,26587,10764,28.9,8.7,873,84,69,11,001,007304,1
803,234,63,19932,8215,37986,17569,37.6,9.0,360,69,30,11,001,007304,2
296,151,23,23886,6444,null,null,44.4,16.5,197,58,15,11,001,007304,3
1355,211,138,10386,2516,14836,2054,29.2,4.2,563,58,61,11,001,007401,1
1098,180,127,8410,2223,15833,6787,24.9,4.8,522,62,62,11,001,007401,2
3500,371,194,13191,2016,31399,2491,25.5,2.2,1183,36,77,11,001,007403,1
2414,461,116,16586,7886,25000,9223,21.9,5.6,884,131,49,11,001,007404,1
1076,473,48,15306,8011,49519,19020,25.5,5.1,312,88,18,11,001,007404,2
305,209,16,14695,8454,27750,22753,19.8,26.2,248,92,16,11,001,007404,3
2368,482,124,14047,2692,44804,4161,25.2,3.1,720,90,46,11,001,007406,1
693,247,54,9760,3430,14329,3749,25.4,3.8,414,83,34,11,001,007406,2
868,224,63,16129,4246,34286,17421,42.2,16.8,365,77,28,11,001,007407,1
1866,309,141,23429,5725,34583,12794,30.5,5.9,1015,87,77,11,001,007407,2
3548,454,328,11340,2219,22353,4557,29.8,3.4,1304,41,105,11,001,007408,1
938,297,52,15222,3403,34816,8991,40.5,12.2,497,100,33,11,001,007409,1
1222,332,83,19990,6231,null,null,27.6,7.1,514,97,41,11,001,007409,2
1642,367,89,14419,3856,34135,9723,25.5,4.3,629,92,39,11,001,007409,3
3457,611,187,19346,9797,28994,9022,27.5,7.8,1113,141,65,11,001,007502,1
1904,455,121,16149,4665,16789,12113,34.3,3.5,894,144,65,11,001,007502,2
707,187,85,24399,7186,35750,19439,37.5,7.5,351,64,48,11,001,007503,1
1987,320,205,10551,1930,21563,5301,20.7,3.4,732,67,88,11,001,007503,2
2780,341,203,15411,4123,17159,2948,28.2,5.7,1365,41,100,11,001,007504,1
822,330,40,26727,10849,36520,6971,37.6,10.3,565,142,27,11,001,007601,1
352,112,26,37894,11531,null,null,63.0,12.5,260,75,20,11,001,007601,2
1664,492,102,27795,9226,40848,14611,46.2,7.8,669,123,42,11,001,007601,3
753,304,42,16907,4913,26061,9670,31.5,9.5,494,133,28,11,001,007601,4
591,298,34,23850,7353,null,null,45.2,6.9,374,113,23,11,001,007601,5]]
