B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract
4784,496,260,109518,18015,109947,21944,42.0,4.3,2872,137,159,11,001,000100
4227,678,310,2596,853,-666666666,-222222222,19.4,0.2,0,132,0,11,001,000201
4553,485,326,76526,14521,120114,15275,27.8,3.2,2009,82,142,11,001,000202
5664,564,321,64259,8077,101250,19492,30.3,2.9,2933,66,160,11,001,000300
1296,159,103,102247,21700,158580,54604,40.7,4.1,673,26,56,11,001,000400
3388,273,215,64416,10305,87415,9769,30.5,1.6,2120,80,131,11,001,000501
3241,237,269,94550,12345,95694,16112,39.5,2.7,1785,69,147,11,001,000502
4777,572,349,89389,15807,115648,15509,48.2,4.8,2169,97,143,11,001,000600
4585,284,251,90234,16094,79649,8297,49.3,4.2,3395,69,191,11,001,000701
3106,280,155,50863,5317,63794,9295,30.3,1.9,2429,75,124,11,001,000702
6286,462,365,82345,11852,114732,12473,43.1,2.5,3457,73,199,11,001,000801
2595,189,229,77035,11421,92000,25595,41.1,2.4,1454,43,116,11,001,000802
7789,800,601,63301,10377,213889,43735,19.8,0.2,1627,66,138,11,001,000901
2228,215,199,94213,16827,163750,14432,41.6,3.5,907,32,77,11,001,000902
8039,636,493,60550,7526,142697,17080,36.4,3.7,2776,62,179,11,001,001001
3343,484,166,57309,11128,85543,28629,32.8,2.8,2410,76,111,11,001,001002
4247,313,326,82107,10455,141607,29126,42.0,2.1,1997,54,151,11,001,001100
5002,331,272,70629,8867,93785,14321,35.0,1.7,2531,98,149,11,001,001200
4410,427,263,75391,13451,88981,19248,37.0,2.9,2145,67,122,11,001,001301
7012,601,431,72996,6865,78961,6357,34.4,2.5,5459,102,325,11,001,001302
3149,210,273,82826,16199,109609,35943,39.6,3.5,1486,37,124,11,001,001401
2958,332,262,80824,15143,100750,27302,46.7,4.8,1436,92,114,11,001,001402
5692,301,400,85089,10009,179125,24920,46.4,1.0,2155,92,148,11,001,001500
4448,262,301,61298,7685,133824,24284,47.4,1.5,1772,32,133,11,001,001600
2465,294,161,48059,9161,91989,24178,38.3,5.1,1214,67,90,11,001,001702
2965,288,209,29784,4620,35350,5043,44.0,5.9,1716,42,115,11,001,001803
4809,651,278,22387,3572,40281,7662,37.1,2.6,2094,106,130,11,001,001804
4197,593,263,27077,4361,48073,16424,42.6,5.9,1684,44,114,11,001,001901
2121,183,155,30755,4797,72273,14462,46.5,3.6,893,25,67,11,001,001902
2668,382,143,42555,7592,43478,15734,39.4,7.8,1096,63,65,11,001,002001
3604,365,218,39535,5681,53373,8385,43.9,3.7,1502,74,91,11,001,002002
4735,547,343,21511,2094,41886,6375,36.2,3.0,2173,97,149,11,001,002101
4331,515,269,26633,3781,42522,7817,39.2,8.6,2300,83,134,11,001,002102
3510,373,203,26212,2334,70541,7777,36.1,4.6,1204,51,80,11,001,002201
2930,279,175,26406,4779,42283,9403,41.1,1.9,1500,54,94,11,001,002202
2998,329,202,29152,3802,61500,28821,40.7,3.2,1219,25,86,11,001,002301
1945,551,114,28167,10191,43342,18630,55.8,15.7,792,63,42,11,001,002302
3771,511,240,30463,4992,60082,19895,39.6,7.2,1371,81,96,11,001,002400
2295,396,145,31502,7106,48750,18060,41.4,5.7,1052,25,73,11,001,002501
4872,526,292,25685,3089,42199,6677,34.6,2.6,2243,82,138,11,001,002502
2276,236,180,76203,15167,144141,22799,48.6,6.4,1031,30,80,11,001,002600
5414,556,289,40594,4417,58617,8425,32.2,2.9,2927,106,151,11,001,002701
5103,584,299,52943,6873,95490,16098,34.0,2.9,2470,121,136,11,001,002702
3867,691,194,26531,5378,43661,6899,30.3,4.3,1748,62,99,11,001,002801
3999,523,242,28440,4582,41453,7902,31.0,2.0,2128,99,135,11,001,002802
3885,507,266,30215,4452,56000,10461,30.8,1.4,1767,71,130,11,001,002900
3029,320,230,37512,6402,52228,15474,30.8,1.3,1474,58,108,11,001,003000
2878,446,182,28653,5985,69063,21138,31.3,2.8,1084,96,75,11,001,003100
4473,417,277,27095,3635,50665,13225,34.1,3.9,1897,81,118,11,001,003200
2827,510,190,50787,14682,83285,11159,36.3,4.4,1476,31,95,11,001,003301
2198,293,159,39235,6540,80039,14101,33.6,2.5,1020,60,79,11,001,003302
4832,654,310,15241,3021,30603,8188,20.3,0.9,1327,85,87,11,001,003400
2518,459,170,22218,5315,41136,18974,29.1,6.8,1104,66,76,11,001,003500
4273,656,253,32763,4263,46034,8973,34.9,3.1,2079,127,136,11,001,003600
5119,755,261,25781,3832,52292,11773,27.7,2.7,2470,120,125,11,001,003700
4074,367,219,57552,5477,76121,8621,35.1,1.8,2769,141,145,11,001,003800
4476,385,218,55793,4543,72466,7657,34.8,0.8,3017,82,154,11,001,003900
3250,273,201,80332,8412,100439,7472,37.8,1.6,2392,95,134,11,001,004001
2319,262,210,79703,9268,85368,14304,33.8,2.2,1814,101,146,11,001,004002
2708,305,225,92552,14964,97500,21622,42.7,3.4,1762,51,133,11,001,004100
3536,284,206,72058,14917,86406,24460,31.3,0.7,2254,77,140,11,001,004201
2354,197,200,88592,12868,83588,14136,33.5,1.7,1778,115,143,11,001,004202
2864,443,157,52319,9818,51016,20045,35.6,3.5,2059,104,109,11,001,004300
4478,372,238,62333,9554,98030,12393,33.2,4.0,2350,107,139,11,001,004400
2383,367,161,42504,7614,76623,20119,35.6,4.2,1348,74,93,11,001,004600
3841,480,148,18141,5991,15119,7516,23.8,5.2,1894,96,81,11,001,004701
1616,281,81,29412,9251,43476,38684,36.9,9.0,881,30,36,11,001,004702
1760,280,122,44894,8369,76618,21566,39.3,2.0,1067,78,77,11,001,004801
3061,509,160,37993,10971,42244,3753,34.3,7.2,1430,91,88,11,001,004802
